OBJECTID,Date,Dead,Serious injuries,Light injuries,Day of the week,Day/Night,Type of the accident,Cause of the accident,Alcohol or drugs,Weather conditions,Place,Vehicle type,Vehicle characteristic,Skid,Total damage in Czk,x,y
886,9/10/2017,0,0,0,Sunday,Night,Collision with a fixed obstacle,The driver of the motor vehicle,No,Clear,None or none of listed,Passenger car without a trailer,"Private, not used for business activity",Yes,50000,1835932.4122114952,6311108.937433374
887,9/10/2017,0,0,0,Sunday,Night,Crash,Road defect,Not tested,Clear,None or none of listed,Passenger car without a trailer,Private company,No,5000,1838481.372627149,6316604.36400929
888,9/9/2017,0,0,0,Saturday,Night,Collision with a parked vehicle,The driver of the motor vehicle,Not tested,Clear,None or none of listed,Truck,"Private, not used for business activity",No,20000,1845322.7042939295,6303968.386513952
889,9/9/2017,0,0,1,Saturday,Night,Collision with pedestrian,The driver of the motor vehicle,No,Clear,Parking slot adjacent to the road,Passenger car without a trailer,"Private, not used for business activity",No,0,1847974.5214700482,6309355.769639675
890,9/9/2017,0,0,0,Saturday,Day,Collision with a parked vehicle,The driver of the motor vehicle,No,Clear,None or none of listed,Passenger car without a trailer,"Private, not used for business activity",No,55000,1841605.2825167074,6312399.910464508
891,9/9/2017,0,0,0,Saturday,Day,Collision with a non rail vehicle ,The driver of the motor vehicle,No,Clear,None or none of listed,Passenger car without a trailer,"Private, not used for business activity",No,50000,1856110.2514628507,6305418.684575312
892,9/8/2017,0,1,1,Friday,Day,Collision with a non rail vehicle ,The driver of the motor vehicle,No,Clear,Near the pedestrian crossing,Passenger car without a trailer,Private company,No,200000,1850493.9570624419,6308701.236055026
893,9/8/2017,0,0,1,Friday,Day,Collision with a non rail vehicle ,The driver of the motor vehicle,No,Clear,"Bus stop, trolleybus, tramway without boarding. islet",Passenger car without a trailer,"Private, not used for business activity",No,20000,1846027.943101727,6307923.897940073
894,9/8/2017,0,0,0,Friday,Day,Collision with a parked vehicle,The driver of the motor vehicle,Not tested,Clear,None or none of listed,Passenger car without a trailer,"Private, not used for business activity",No,1000,1857654.9912936538,6310614.4645566195
895,9/8/2017,0,1,0,Friday,Day,Collision with a fixed obstacle,The driver of the motor vehicle,No,Clear,None or none of listed,Motorbike,"Private, not used for business activity",No,20000,1855366.5711405692,6309711.096300374
896,9/8/2017,0,0,1,Friday,Day,Crash,The driver of the motor vehicle,No,Clear,Pedestrian crossing,Motorbike,"Private, not used for business activity",Yes,2000,1855369.7760287141,6299785.756665783
897,9/8/2017,0,0,1,Friday,Day,Collision with pedestrian,Pedestrian,No,Clear,None or none of listed,Passenger car without a trailer,Private company,No,0,1855143.2200481996,6299207.30729574
898,9/8/2017,0,0,0,Friday,Day,Collision with a fixed obstacle,The driver of the motor vehicle,No,Clear,"Bridge, overpass, underpass, tunnel",Truck with semi-trailer,Private company,No,20000,1848516.9206795609,6312226.183048221
899,9/8/2017,0,0,0,Friday,Night,Collision with a parked vehicle,The driver of the motor vehicle,Not tested,Clear,None or none of listed,"Not identified, the driver has fled",Not identified,No,0,1854928.634697814,6309553.163160367
900,9/8/2017,0,0,0,Friday,Night,Collision with a non rail vehicle ,The driver of the motor vehicle,No,Clear,Gas station,Passenger car without a trailer,Registered outside of the Czech Republic,No,120000,1848234.6110000075,6304515.049162866
901,9/8/2017,0,0,0,Friday,Night,Collision with a parked vehicle,The driver of the motor vehicle,Not tested,Clear,Parking slot adjacent to the road,"Not identified, the driver has fled",Not identified,No,0,1847676.2634923256,6311505.933308217
902,9/7/2017,0,0,0,Thursday,Night,Collision with wildlife animals,"Forest animals, pets",Not tested,Clear,None or none of listed,Bus,Private company,No,20000,1847442.5688155098,6319780.368637566
903,9/7/2017,0,0,1,Thursday,Day,Collision with a non rail vehicle ,The driver of the motor vehicle,No,Clear,None or none of listed,Passenger car without a trailer,Private company,No,30000,1847240.3415983962,6308552.140755212
904,9/7/2017,0,0,0,Thursday,Night,Collision with a parked vehicle,The driver of the motor vehicle,Not tested,Clear,Parking slot adjacent to the road,"Not identified, the driver has fled",Not identified,No,0,1847392.9834407696,6312275.2789114155
905,9/7/2017,0,1,0,Thursday,Day,Collision with pedestrian,Pedestrian,No,Clear,None or none of listed,Bicycle,"Private, not used for business activity",No,1000,1852745.882678937,6312438.368517695
906,9/7/2017,0,0,1,Thursday,Day,Other collisions,The driver of the motor vehicle,No,Clear,None or none of listed,Passenger car without a trailer,"Private, not used for business activity",No,10000,1848304.8428007076,6310388.335411528
907,9/7/2017,0,0,1,Thursday,Day,Collision with a non rail vehicle ,The driver of the motor vehicle,No,Clear,None or none of listed,Passenger car without a trailer,Private company,No,10000,1846225.9287122882,6312686.945620205
908,9/7/2017,0,0,0,Thursday,Day,Collision with a fixed obstacle,The driver of the motor vehicle,No,Clear,None or none of listed,Bus,Private company,No,1000,1849540.1687710208,6307816.278460716
909,9/7/2017,0,0,0,Thursday,Night,Collision with a parked vehicle,The driver of the motor vehicle,Not tested,Clear,Parking slot adjacent to the road,"Not identified, the driver has fled",Not identified,No,0,1849069.8706390974,6308515.275901478
910,9/6/2017,0,0,0,Wednesday,Day,Collision with a fixed obstacle,The driver of the motor vehicle,No,Clear,None or none of listed,Truck with trailer,"Private, used for business activity",No,30000,1857069.6156362477,6302763.697327438
911,9/6/2017,0,0,0,Wednesday,Night,Collision with a parked vehicle,The driver of the motor vehicle,Not tested,Clear,None or none of listed,"Not identified, the driver has fled",Not identified,No,0,1850046.6685579447,6310835.080382772
912,9/6/2017,0,0,0,Wednesday,Night,Collision with a fixed obstacle,The driver of the motor vehicle,Not tested,Clear,None or none of listed,"Not identified, the driver has fled",Not identified,No,0,1854010.3586597876,6312495.250353181
913,9/5/2017,0,0,1,Tuesday,Day,Other collisions,The driver of the motor vehicle,Not tested,Clear,None or none of listed,"Not identified, the driver has fled",Not identified,No,0,1855817.3896974411,6305981.226429485
914,9/5/2017,0,0,2,Tuesday,Day,Collision with a non rail vehicle ,The driver of the motor vehicle,No,Clear,Pedestrian crossing,Passenger car without a trailer,Private company,No,80000,1847379.4190494947,6309619.545975529
915,9/5/2017,0,0,1,Tuesday,Day,Collision with pedestrian,Pedestrian,No,Clear,"Bus stop, trolleybus, tramway without boarding. islet",Passenger car without a trailer,Private company,No,10000,1843169.3306018678,6312804.155487361
916,9/5/2017,0,0,0,Tuesday,Day,Collision with a parked vehicle,The driver of the motor vehicle,No,Clear,Parking slot adjacent to the road,Passenger car without a trailer,"Private, not used for business activity",No,20000,1848235.7942148722,6306474.405063726
917,9/5/2017,0,0,0,Tuesday,Night,Collision with a parked vehicle,The driver of the motor vehicle,Not tested,Clear,None or none of listed,"Not identified, the driver has fled",Not identified,No,0,1838244.5443066687,6312026.087974813
918,9/5/2017,0,0,0,Tuesday,Night,Collision with a parked vehicle,The driver of the motor vehicle,Not tested,Clear,Parking slot adjacent to the road,"Not identified, the driver has fled",Not identified,No,0,1846067.1461528428,6311525.590492442
919,9/5/2017,0,0,0,Tuesday,Night,Collision with a parked vehicle,The driver of the motor vehicle,Not tested,Clear,Gas station,"Not identified, the driver has fled",Not identified,No,0,1849045.7736428804,6307059.288904192
920,9/5/2017,0,0,0,Tuesday,Night,Collision with wildlife animals,"Forest animals, pets",Not tested,Clear,None or none of listed,Passenger car without a trailer,"Private, not used for business activity",No,10000,1839020.9192747131,6313028.792108048
921,9/5/2017,0,0,0,Tuesday,Night,Collision with a parked vehicle,The driver of the motor vehicle,Not tested,Clear,None or none of listed,Passenger car without a trailer,Private company,No,0,1847692.7516900229,6308797.796312131
922,9/4/2017,0,0,1,Monday,Night,Collision with pedestrian,Pedestrian,No,Clear,Pedestrian crossing,Tram,Public transport,No,0,1849178.4941944575,6307346.809185157
923,9/4/2017,0,0,0,Monday,Day,Collision with a non rail vehicle ,The driver of the motor vehicle,No,Clear,None or none of listed,Passenger car without a trailer,Private company,No,10000,1844473.928910187,6307975.231616352
924,9/3/2017,0,0,0,Sunday,Night,Collision with a fixed obstacle,The driver of the motor vehicle,Not tested,Clear,Gas station,Truck,Private company,No,20000,1853373.8721053363,6310423.084819827
925,9/3/2017,0,0,1,Sunday,Day,Collision with a non rail vehicle ,The driver of the motor vehicle,No,Clear,None or none of listed,Passenger car without a trailer,"Private, not used for business activity",No,25000,1841729.394398099,6305966.066491809
926,9/3/2017,0,0,1,Sunday,Day,Collision with a non rail vehicle ,The driver of the motor vehicle,No,Clear,None or none of listed,Passenger car without a trailer,"Private, not used for business activity",No,50000,1840138.64911606,6315388.187704147
927,9/3/2017,0,0,1,Sunday,Night,Collision with a non rail vehicle ,The driver of the motor vehicle,No,Clear,Gas station,Passenger car without a trailer,"Private, not used for business activity",No,20000,1851692.4828128498,6307158.063199034
928,9/3/2017,0,0,0,Sunday,Night,Collision with a parked vehicle,The driver of the motor vehicle,Not tested,Clear,Parking slot adjacent to the road,"Not identified, the driver has fled",Not identified,No,0,1850539.1309570866,6307363.801503313
929,9/2/2017,0,1,0,Saturday,Day,Other collisions,Another road user,No,Clear,"Exit from the car park, forest roads, etc.",Truck,Private company,No,0,1835498.8618679945,6309554.375060034
930,9/2/2017,0,0,0,Saturday,Night,Collision with a fixed obstacle,The driver of the motor vehicle,Not tested,Clear,Near the pedestrian crossing,"Not identified, the driver has fled",Not identified,No,0,1850478.4991266332,6317645.746712047
931,9/2/2017,0,0,0,Saturday,Day,Collision with a fixed obstacle,The driver of the motor vehicle,No,Clear,"Exit from the car park, forest roads, etc.",Passenger car without a trailer,"Private, not used for business activity",No,35000,1842403.2654884662,6304437.269866083
932,9/2/2017,0,0,0,Saturday,Night,Collision with a parked vehicle,The driver of the motor vehicle,Not tested,Clear,Parking slot adjacent to the road,"Not identified, the driver has fled",Not identified,No,0,1844224.4574785393,6304736.738698016
933,9/2/2017,0,0,0,Saturday,Night,Collision with a parked vehicle,The driver of the motor vehicle,Not tested,Clear,None or none of listed,Passenger car without a trailer,"Private, not used for business activity",No,0,1849467.216544602,6306746.372406225
934,9/2/2017,0,0,1,Saturday,Day,Collision with pedestrian,The driver of the motor vehicle,Not tested,Clear,Parking slot adjacent to the road,"Not identified, the driver has fled",Not identified,No,0,1849693.0192261157,6308070.101025157
935,9/1/2017,0,0,0,Friday,Night,Collision with a non rail vehicle ,The driver of the motor vehicle,No,Clear,Pedestrian crossing,Passenger car without a trailer,"Private, not used for business activity",No,300000,1849661.073315246,6308140.799204897
936,9/1/2017,0,0,1,Friday,Night,Collision with a fixed obstacle,The driver of the motor vehicle,No,Rain,None or none of listed,Passenger car without a trailer,"Private, not used for business activity",No,150000,1845675.3796915316,6316764.571208841
937,9/1/2017,0,0,0,Friday,Night,Collision with a parked vehicle,The driver of the motor vehicle,Not tested,Rain,Parking slot adjacent to the road,"Not identified, the driver has fled",Not identified,No,0,1850397.3152691494,6313661.98854894
938,9/1/2017,0,0,0,Friday,Night,Collision with a parked vehicle,The driver of the motor vehicle,Not tested,"At the beginning of the rain, light rain, drizzle, etc.",Parking slot adjacent to the road,"Not identified, the driver has fled",Not identified,No,0,1839954.6742879315,6304024.260261947
939,9/1/2017,0,0,1,Friday,Day,Collision with pedestrian,The driver of the motor vehicle,No,"At the beginning of the rain, light rain, drizzle, etc.",Pedestrian crossing,Passenger car without a trailer,"Private, not used for business activity",No,0,1848279.9124667873,6310560.274595019
940,9/1/2017,0,0,0,Friday,Night,Collision with a fixed obstacle,The driver of the motor vehicle,Not tested,Clear,None or none of listed,"Not identified, the driver has fled",Not identified,No,0,1846262.6949797475,6315430.016150718
941,9/1/2017,0,0,0,Friday,Day,Collision with a parked vehicle,The driver of the motor vehicle,No,Clear,Parking slot adjacent to the road,Truck with semi-trailer,Private company,No,0,1845009.908992583,6307352.929611209
942,9/1/2017,0,0,0,Friday,Day,Collision with a fixed obstacle,The driver of the motor vehicle,No,Clear,None or none of listed,Passenger car without a trailer,"Private, not used for business activity",No,0,1846996.242779333,6306124.270476462
943,9/1/2017,0,0,1,Friday,Day,Other collisions,The driver of the motor vehicle,Not tested,Rain,None or none of listed,"Not identified, the driver has fled",Not identified,No,0,1845136.2618466485,6319888.948670749
944,9/1/2017,0,0,0,Friday,Day,Crash,The driver of the motor vehicle,No,Rain,None or none of listed,Passenger car without a trailer,"Private, not used for business activity",Yes,80000,1848588.5911733636,6307206.1375310505
945,8/31/2017,0,0,0,Thursday,Day,Collision with a tram,The driver of the motor vehicle,No,Clear,None or none of listed,Truck,Private company,No,10000,1848754.080509485,6309113.97218017
946,8/31/2017,0,0,1,Thursday,Day,Collision with pedestrian,The driver of the motor vehicle,Not tested,Clear,Pedestrian crossing,"Not identified, the driver has fled",Not identified,No,0,1849037.4289112133,6310267.324298164
947,8/31/2017,0,0,0,Thursday,Day,Collision with a non rail vehicle ,The driver of the motor vehicle,No,Clear,None or none of listed,Passenger car without a trailer,Registered outside of the Czech Republic,No,30000,1849469.619041851,6308530.5940883225
948,8/31/2017,0,1,0,Thursday,Day,Collision with pedestrian,Pedestrian,No,Clear,None or none of listed,Passenger car without a trailer,Private company,No,0,1850561.6542296568,6308389.663663065
949,8/31/2017,0,0,1,Thursday,Day,Collision with pedestrian,The driver of the motor vehicle,No,Clear,Pedestrian crossing,Passenger car without a trailer,"Private, not used for business activity",No,0,1843018.7935884283,6311852.925216051
950,8/31/2017,0,0,1,Thursday,Day,Crash,Road defect,Not tested,Clear,None or none of listed,Motorbike,"Private, not used for business activity",Yes,40000,1849338.3211533686,6316344.943256038
951,8/31/2017,0,0,0,Thursday,Night,Collision with wildlife animals,"Forest animals, pets",Not tested,Clear,"Bus stop, trolleybus, tramway without boarding. islet",Passenger car without a trailer,"Private, not used for business activity",No,5000,1836117.0266814118,6311533.410126845
952,8/31/2017,0,0,0,Thursday,Night,Collision with a fixed obstacle,The driver of the motor vehicle,Not tested,Rain,None or none of listed,"Not identified, the driver has fled",Not identified,No,0,1840965.9731226068,6312308.577190596
953,8/30/2017,0,0,1,Wednesday,Day,Collision with a non rail vehicle ,The driver of the motor vehicle,No,Clear,None or none of listed,Passenger car without a trailer,"Private, not used for business activity",No,5000,1849739.8356398465,6306867.210839915
954,8/30/2017,0,0,1,Wednesday,Day,Crash,Road defect,Not tested,Clear,None or none of listed,Bicycle,"Private, not used for business activity",No,0,1853576.446193985,6306600.082259985
955,8/30/2017,0,0,0,Wednesday,Day,Collision with a fixed obstacle,The driver of the motor vehicle,No,Clear,None or none of listed,Passenger car without a trailer,Registered outside of the Czech Republic,No,1000,1848889.024333934,6308102.2391360225
956,8/30/2017,0,0,1,Wednesday,Day,Other collisions,The driver of the motor vehicle,No,Clear,Parking slot adjacent to the road,Passenger car without a trailer,"Private, not used for business activity",No,20000,1845286.451320643,6311158.701099878
957,8/30/2017,0,0,0,Wednesday,Night,Collision with a parked vehicle,The driver of the motor vehicle,Not tested,Clear,Parking slot adjacent to the road,"Not identified, the driver has fled",Not identified,No,0,1847506.1177732178,6313222.806420715
958,8/29/2017,0,0,0,Tuesday,Day,Collision with a non rail vehicle ,The driver of the motor vehicle,Not tested,Clear,None or none of listed,"Not identified, the driver has fled",Not identified,No,0,1849819.0325557368,6301882.962112372
959,8/29/2017,0,0,0,Tuesday,Day,Collision with a non rail vehicle ,The driver of the motor vehicle,Not tested,Clear,Near the pedestrian crossing,"Not identified, the driver has fled",Not identified,No,0,1846419.943779244,6303023.03747758
960,8/29/2017,0,0,0,Tuesday,Day,Other collisions,The driver of the motor vehicle,Not tested,Clear,Parking slot adjacent to the road,"Not identified, the driver has fled",Not identified,No,0,1853416.7452487461,6307755.153309842
961,8/29/2017,0,0,1,Tuesday,Day,Crash,The driver of the motor vehicle,Under influence of alcohol,Clear,None or none of listed,Motorbike,"Private, not used for business activity",No,20000,1848742.321831678,6307189.0969866635
962,8/29/2017,0,0,1,Tuesday,Day,Collision with a non rail vehicle ,The driver of the motor vehicle,No,Clear,"Bus stop, trolleybus, tramway without boarding. islet",Moped,"Private, not used for business activity",No,5000,1852795.1081577665,6309972.060114363
963,8/29/2017,0,0,1,Tuesday,Day,Crash,Driver of a non-motorized vehicle,No,Clear,None or none of listed,Bicycle,"Private, not used for business activity",No,5000,1845665.4734813648,6316785.376193676
964,8/29/2017,0,0,0,Tuesday,Day,Collision with a parked vehicle,The driver of the motor vehicle,Not tested,Clear,Parking slot adjacent to the road,Truck,Private company,No,0,1849176.6246949318,6308451.214706981
965,8/28/2017,0,0,0,Monday,Day,Collision with a parked vehicle,The driver of the motor vehicle,Not tested,Clear,None or none of listed,"Not identified, the driver has fled",Not identified,No,0,1841700.3462448947,6312315.8794324985
966,8/28/2017,0,0,1,Monday,Day,Collision with a non rail vehicle ,The driver of the motor vehicle,No,Clear,None or none of listed,Passenger car without a trailer,Police,No,90000,1844344.6810814457,6310896.465257217
967,8/28/2017,0,0,0,Monday,Day,Collision with a non rail vehicle ,The driver of the motor vehicle,Not tested,Clear,None or none of listed,"Not identified, the driver has fled",Not identified,No,0,1852043.5252648417,6311189.642779039
968,8/28/2017,0,0,1,Monday,Day,Collision with a non rail vehicle ,The driver of the motor vehicle,No,Clear,None or none of listed,Passenger car without a trailer,Private company,No,80000,1850825.1110628888,6307395.644796816
969,8/28/2017,0,0,0,Monday,Night,Collision with a non rail vehicle ,The driver of the motor vehicle,Under influence of alcohol,Clear,None or none of listed,Passenger car without a trailer,Registered outside of the Czech Republic,No,30000,1849248.8023603305,6309664.800927474
970,8/28/2017,0,0,0,Monday,Night,Collision with a parked vehicle,The driver of the motor vehicle,Not tested,Clear,None or none of listed,"Not identified, the driver has fled",Not identified,No,0,1855644.732499304,6305941.2078703325
971,8/27/2017,0,0,0,Sunday,Night,Collision with a parked vehicle,The driver of the motor vehicle,Not tested,Clear,None or none of listed,Passenger car without a trailer,Private company,No,1000,1845734.385478187,6310780.36484255
972,8/26/2017,0,0,0,Saturday,Night,Collision with a parked vehicle,The driver of the motor vehicle,Not tested,Clear,Parking slot adjacent to the road,"Not identified, the driver has fled",Not identified,No,0,1845821.7369920525,6303655.580493052
973,8/26/2017,0,0,0,Saturday,Night,Collision with a parked vehicle,The driver of the motor vehicle,Not tested,Clear,Parking slot adjacent to the road,"Not identified, the driver has fled",Not identified,No,0,1845821.7369920525,6303655.580493052
974,8/26/2017,0,0,1,Saturday,Day,Other collisions,The driver of the motor vehicle,No,Clear,Pedestrian crossing,Motorbike,"Private, not used for business activity",No,30000,1850843.1228904608,6306803.042947548
975,8/26/2017,0,0,1,Saturday,Day,Collision with a non rail vehicle ,The driver of the motor vehicle,No,Clear,Pedestrian crossing,Passenger car without a trailer,Private company,No,20000,1845017.756237449,6311979.14418454
976,8/26/2017,0,0,0,Saturday,Night,Collision with a parked vehicle,The driver of the motor vehicle,Not tested,Clear,Parking slot adjacent to the road,"Not identified, the driver has fled",Not identified,No,0,1846873.2812735552,6310494.549767852
977,8/26/2017,0,0,0,Saturday,Night,Collision with a parked vehicle,The driver of the motor vehicle,Not tested,Clear,Parking slot adjacent to the road,"Not identified, the driver has fled",Not identified,No,0,1840894.9788947157,6313074.918648746
978,8/26/2017,0,0,1,Saturday,Day,Collision with a non rail vehicle ,Driver of a non-motorized vehicle,No,Clear,"Exit from the car park, forest roads, etc.",Bicycle,"Private, not used for business activity",No,500,1845709.655964624,6304146.140029146
979,8/26/2017,0,0,1,Saturday,Day,Crash,The driver of the motor vehicle,No,Clear,None or none of listed,Motorbike,"Private, not used for business activity",No,20000,1855506.3136143093,6309101.5153015675
980,8/26/2017,0,0,0,Saturday,Night,Collision with a non rail vehicle ,The driver of the motor vehicle,No,Clear,None or none of listed,Passenger car without a trailer,Private company,No,20000,1849660.1155223453,6308218.945896932
981,8/26/2017,0,0,0,Saturday,Night,Other collisions,The driver of the motor vehicle,Not tested,Clear,Parking slot adjacent to the road,"Not identified, the driver has fled",Not identified,No,0,1853448.154154389,6308207.78449733
982,8/25/2017,0,0,1,Friday,Day,Collision with a non rail vehicle ,Driver of a non-motorized vehicle,No,Clear,None or none of listed,Bicycle,"Private, not used for business activity",No,1000,1846770.1024658051,6310866.213600977
983,8/25/2017,0,0,1,Friday,Day,Collision with pedestrian,The driver of the motor vehicle,No,Clear,Pedestrian crossing,Passenger car without a trailer,"Private, not used for business activity",No,0,1848286.075336438,6308592.140028832
984,8/25/2017,0,0,0,Friday,Night,Collision with a parked vehicle,The driver of the motor vehicle,Not tested,Clear,Parking slot adjacent to the road,Truck with semi-trailer,Private company,No,0,1846922.7076840608,6307398.171539179
985,8/25/2017,0,0,0,Friday,Night,Collision with a parked vehicle,The driver of the motor vehicle,Not tested,Clear,Parking slot adjacent to the road,Passenger car without a trailer,"Private, not used for business activity",No,10000,1851056.3402356256,6301759.328084785
986,8/25/2017,0,0,0,Friday,Night,Collision with a parked vehicle,The driver of the motor vehicle,Not tested,Clear,Parking slot adjacent to the road,"Not identified, the driver has fled",Not identified,No,0,1850634.1101937816,6311091.191849472
987,8/25/2017,0,0,0,Friday,Day,Collision with a non rail vehicle ,The driver of the motor vehicle,Not tested,Clear,None or none of listed,"Not identified, the driver has fled",Not identified,No,0,1848127.7308191885,6313420.860756282
988,8/24/2017,0,0,0,Thursday,Night,Collision with a non rail vehicle ,Driver of a non-motorized vehicle,Under influence of alcohol,Clear,None or none of listed,Bicycle,"Private, not used for business activity",No,1000,1845612.1419831186,6316527.538420697
989,8/24/2017,0,0,1,Thursday,Day,Collision with pedestrian,The driver of the motor vehicle,No,Clear,Pedestrian crossing,Passenger car without a trailer,"Private, not used for business activity",No,1000,1847893.9498697687,6310008.019940983
990,8/24/2017,0,0,0,Thursday,Night,Collision with a parked vehicle,The driver of the motor vehicle,Not tested,Clear,None or none of listed,"Not identified, the driver has fled",Not identified,No,0,1845612.1419831186,6316527.538420697
991,8/24/2017,0,0,1,Thursday,Day,Collision with a fixed obstacle,The driver of the motor vehicle,No,Clear,"Bus stop, trolleybus, tramway without boarding. islet",Bus,Public transport - city- local ,No,1000,1853864.1893778914,6296826.543212536
992,8/24/2017,0,1,0,Thursday,Day,Collision with pedestrian,The driver of the motor vehicle,No,Clear,Pedestrian crossing,Passenger car without a trailer,"Private, not used for business activity",No,20000,1843732.664888777,6305178.838675805
993,8/24/2017,0,0,1,Thursday,Day,Collision with a non rail vehicle ,The driver of the motor vehicle,No,Clear,None or none of listed,Passenger car without a trailer,"Private, not used for business activity",No,70000,1838612.3591550183,6308970.7874199925
994,8/24/2017,0,0,0,Thursday,Day,Collision with a fixed obstacle,The driver of the motor vehicle,No,Clear,Pedestrian crossing,Bus,Public transport - city- local ,No,0,1854969.0716141653,6310305.278986881
995,8/24/2017,0,0,0,Thursday,Night,Collision with a parked vehicle,The driver of the motor vehicle,Not tested,Clear,Parking slot adjacent to the road,Passenger car without a trailer,"Private, not used for business activity",No,0,1851063.6565978348,6300907.540405867
996,8/24/2017,0,0,0,Thursday,Day,Collision with a parked vehicle,The driver of the motor vehicle,Not tested,Clear,Parking slot adjacent to the road,"Not identified, the driver has fled",Not identified,No,0,1846782.2690182286,6302510.911230401
997,8/24/2017,0,0,1,Thursday,Night,Collision with pedestrian,Pedestrian,No,Clear,None or none of listed,Truck,Private company,No,0,1857012.9157215266,6304818.525459368
998,8/24/2017,0,0,1,Thursday,Night,Collision with pedestrian,Pedestrian,No,Other dificult,None or none of listed,Truck,Private company,No,0,1857003.9787701669,6304819.917177712
999,8/23/2017,0,0,0,Wednesday,Day,Collision with a fixed obstacle,The driver of the motor vehicle,No,Clear,None or none of listed,Truck with semi-trailer,Private company,No,300000,1851229.402414065,6300649.32633679
1000,8/23/2017,0,0,0,Wednesday,Day,Collision with a fixed obstacle,The driver of the motor vehicle,No,Clear,"Bus, trolleybus, tram stop. islet",Truck,Private company,No,10000,1848690.7216854685,6311716.886038011
1001,8/23/2017,0,0,1,Wednesday,Day,Collision with a non rail vehicle ,The driver of the motor vehicle,No,Clear,Pedestrian crossing,Passenger car without a trailer,"Private, not used for business activity",No,50000,1849039.3692099394,6308483.589704177
1002,8/23/2017,0,0,1,Wednesday,Day,Crash,Driver of a non-motorized vehicle,No,Clear,Near the pedestrian crossing,Bicycle,"Private, not used for business activity",No,2000,1849528.8020491344,6307455.313183838
1003,8/23/2017,0,0,1,Wednesday,Day,Collision with a non rail vehicle ,The driver of the motor vehicle,No,Clear,Gas station,Motorbike,"Private, not used for business activity",No,30000,1846744.9895679145,6315226.65451024
1004,8/23/2017,0,0,0,Wednesday,Day,Crash,The driver of the motor vehicle,No,Clear,None or none of listed,Passenger car without a trailer,Private company,Yes,500000,1852894.5562041027,6304913.527409436
1005,8/23/2017,0,0,0,Wednesday,Night,Collision with a parked vehicle,The driver of the motor vehicle,Not tested,Clear,Parking slot adjacent to the road,"Not identified, the driver has fled",Not identified,No,0,1849532.640567815,6308969.124133525
1006,8/23/2017,0,0,0,Wednesday,Day,Collision with a fixed obstacle,The driver of the motor vehicle,No,Clear,"Bridge, overpass, underpass, tunnel",Truck,"Private, not used for business activity",No,0,1847509.5969525853,6314018.720019414
1007,8/23/2017,0,0,0,Wednesday,Night,Collision with a parked vehicle,The driver of the motor vehicle,Not tested,Clear,Parking slot adjacent to the road,"Not identified, the driver has fled",Not identified,No,0,1848966.4484869384,6308324.472618443
1008,8/23/2017,0,0,0,Wednesday,Night,Collision with a parked vehicle,The driver of the motor vehicle,Not tested,Clear,None or none of listed,"Not identified, the driver has fled",Not identified,No,0,1843130.0478459974,6303888.097296902
1009,8/23/2017,0,0,0,Wednesday,Day,Collision with a parked vehicle,The driver of the motor vehicle,Not tested,Clear,None or none of listed,"Not identified, the driver has fled",Not identified,No,0,1842053.8009902549,6312766.185106161
1010,8/23/2017,0,0,0,Wednesday,Night,Collision with a non rail vehicle ,The driver of the motor vehicle,No,Clear,"Bridge, overpass, underpass, tunnel",Passenger car without a trailer,"Private, not used for business activity",No,105000,1852667.5581738956,6310579.541744835
1011,8/23/2017,0,0,0,Wednesday,Day,Collision with a non rail vehicle ,The driver of the motor vehicle,Not tested,Clear,None or none of listed,"Not identified, the driver has fled",Not identified,No,0,1853901.18540878,6300971.608117882
1012,8/23/2017,0,0,0,Wednesday,Night,Collision with a parked vehicle,The driver of the motor vehicle,Not tested,Clear,Parking slot adjacent to the road,"Not identified, the driver has fled",Not identified,No,0,1845945.5169187277,6303794.496409488
1013,8/22/2017,0,0,0,Tuesday,Day,Collision with a non rail vehicle ,The driver of the motor vehicle,No,Clear,None or none of listed,Passenger car without a trailer,Private company,No,30000,1845612.1419831186,6316527.538420697
1014,8/22/2017,0,0,0,Tuesday,Day,Collision with a non rail vehicle ,The driver of the motor vehicle,No,Clear,None or none of listed,Passenger car without a trailer,"Private, not used for business activity",No,20000,1852685.3239853936,6309313.173488722
1015,8/22/2017,0,0,1,Tuesday,Day,Collision with a fixed obstacle,The driver of the motor vehicle,Under influence of alcohol,Clear,Parking slot adjacent to the road,Passenger car without a trailer,"Private, not used for business activity",No,50000,1844628.025364346,6302634.928421442
1016,8/22/2017,0,0,0,Tuesday,Day,Collision with a parked vehicle,The driver of the motor vehicle,Not tested,Clear,None or none of listed,Passenger car without a trailer,"Private, not used for business activity",No,0,1845522.2569489565,6308954.958868037
1017,8/22/2017,0,0,0,Tuesday,Day,Collision with a non rail vehicle ,The driver of the motor vehicle,Not tested,Clear,Pedestrian crossing,"Not identified, the driver has fled",Not identified,No,0,1844354.2665801595,6308142.354837264
1018,8/21/2017,0,0,0,Monday,Day,Collision with a non rail vehicle ,The driver of the motor vehicle,No,Clear,None or none of listed,Truck,"Private, not used for business activity",No,110000,1856257.4269616266,6302684.049809511
1019,8/21/2017,0,0,1,Monday,Day,Collision with a fixed obstacle,The driver of the motor vehicle,No,Clear,Pedestrian crossing,Passenger car without a trailer,Registered outside of the Czech Republic,No,10000,1846569.2914552484,6308019.27730119
