objectid,date,dead,serious.injuries,light.injuries,day.of.the.week,day/night,type.of.the.accident,cause.of.the.accident,alcohol.or.drugs,weather.conditions,place,vehicle.type,vehicle.characteristic,skid,total.damage.in.czk,x,y,lat,lng
1161,2020/08/02 00:00,0,0,0,Wed,Day,Collision with a parked vehicle,The driver of the motor vehicle,Not tested,Clear,None or none of listed,"Not identified, the driver has fled",Not identified,No,0,1848325.740029479,6306482.577845577,49.186010230000086,16.603792623000057
1162,2020/08/01 00:00,0,0,1,Tue,Day,Collision with a non rail vehicle,The driver of the motor vehicle,No,Clear,Pedestrian crossing,Truck,Private company,No,20000,1848832.1622267216,6310440.118444809,49.20924122600007,16.608341891000066
1163,2020/08/01 00:00,0,0,1,Tue,Day,Crash,Driver of a non-motorized vehicle,No,Clear,"Bus stop, trolleybus, tramway without boarding. islet",Bicycle,"Private, not used for business activity",Yes,0,1853800.4116586251,6312513.326306653,49.22140672300003,16.652972435000038
1164,2020/08/01 00:00,0,0,1,Tue,Day,Collision with pedestrian,Driver of a non-motorized vehicle,No,Clear,None or none of listed,Bicycle,"Private, not used for business activity",No,15000,1852233.2470729977,6309043.480497854,49.20104412500006,16.638894356000037
1165,2020/08/01 00:00,0,1,0,Tue,Day,Collision with a non rail vehicle,The driver of the motor vehicle,No,Clear,Parking slot adjacent to the road,Passenger car without a trailer,"Private, not used for business activity",No,20000,1836026.5790385446,6317028.566211194,49.24789160100004,16.49330738000003
1166,2020/07/31 00:00,0,0,0,Mon,Night,Collision with a parked vehicle,The driver of the motor vehicle,Not tested,Clear,None or none of listed,"Not identified, the driver has fled",Not identified,No,0,1847339.3239953038,6312180.856558011,49.21945600600002,16.59493149700006
1167,2020/07/31 00:00,0,0,0,Mon,Night,Collision with a parked vehicle,The driver of the motor vehicle,Not tested,Clear,None or none of listed,"Not identified, the driver has fled",Not identified,No,0,1847891.7170234201,6300546.300702323,49.15114347400002,16.59989372800004
1168,2020/07/31 00:00,0,0,0,Mon,Night,Collision with a parked vehicle,The driver of the motor vehicle,Not tested,Clear,Parking slot adjacent to the road,"Not identified, the driver has fled",Not identified,No,0,1840029.1579365826,6313622.814599427,49.22791592400006,16.52926315800005
1169,2020/07/31 00:00,0,0,1,Mon,Day,Collision with pedestrian,The driver of the motor vehicle,No,Clear,Pedestrian crossing,Passenger car without a trailer,Private company,No,0,1848847.5924439796,6306068.798185845,49.18358068900005,16.608480503000067
1170,2020/07/31 00:00,0,0,1,Mon,Day,Collision with a non rail vehicle,Driver of a non-motorized vehicle,No,Clear,None or none of listed,Bicycle,"Private, not used for business activity",No,5000,1845603.2355332994,6304167.939576783,49.17241811000007,16.57933594900004
1171,2020/07/31 00:00,0,0,0,Mon,Night,Collision with a parked vehicle,The driver of the motor vehicle,Not tested,Clear,Parking slot adjacent to the road,"Not identified, the driver has fled",Not identified,No,0,1850412.14358192,6305028.224740543,49.17747035000008,16.62253510500005
1172,2020/07/31 00:00,0,0,0,Mon,Night,Collision with a parked vehicle,The driver of the motor vehicle,Not tested,Clear,None or none of listed,"Not identified, the driver has fled",Not identified,No,0,1857041.3582967017,6309476.582631489,49.20358621900003,16.682086354000035
1173,2020/07/31 00:00,0,0,0,Mon,Night,Collision with a fixed obstacle,The driver of the motor vehicle,Under influence of alcohol,Clear,Pedestrian crossing,Passenger car without a trailer,"Private, not used for business activity",No,30000,1845674.1587393598,6316879.851040978,49.247019514000044,16.579973063000065
1174,2020/07/30 00:00,0,0,0,Sun,Night,Collision with a parked vehicle,The driver of the motor vehicle,Not tested,Clear,None or none of listed,"Not identified, the driver has fled",Not identified,No,0,1856054.6534997714,6310243.213273446,49.208085639000046,16.67322263400007
1175,2020/07/30 00:00,0,0,0,Sun,Night,Collision with a parked vehicle,The driver of the motor vehicle,Not tested,Clear,Parking slot adjacent to the road,"Not identified, the driver has fled",Not identified,No,0,1844790.2528167511,6306734.788686942,49.18749104800002,16.572032801000034
1176,2020/07/29 00:00,0,0,0,Sat,Night,Collision with a parked vehicle,The driver of the motor vehicle,Not tested,Clear,Parking slot adjacent to the road,"Not identified, the driver has fled",Not identified,No,0,1839296.4022864946,6312123.711145059,49.219120706000055,16.52268070200006
1177,2020/07/29 00:00,0,0,0,Sat,Day,Collision with a fixed obstacle,The driver of the motor vehicle,No,Clear,Parking slot adjacent to the road,Passenger car without a trailer,"Private, not used for business activity",No,0,1844109.135606777,6304864.971650489,49.17651164500005,16.565914221000067
1178,2020/07/29 00:00,0,0,0,Sat,Day,Collision with a fixed obstacle,The driver of the motor vehicle,No,Clear,Parking slot adjacent to the road,Passenger car without a trailer,"Private, not used for business activity",No,0,1844212.0001596056,6305025.554646149,49.17745467000002,16.56683826900007
1179,2020/07/29 00:00,0,0,0,Sat,Night,Other collisions,The driver of the motor vehicle,No,Clear,Parking slot adjacent to the road,Passenger car without a trailer,"Private, not used for business activity",No,0,1837245.336327166,6314929.6523806,49.23558184500007,16.504255663000038
1180,2020/07/29 00:00,0,0,0,Sat,Day,Collision with a fixed obstacle,The driver of the motor vehicle,Not tested,Clear,Near the pedestrian crossing,Passenger car without a trailer,Private company,No,5000,1840287.30839233,6313622.1235527685,49.22791187000007,16.531582163000053
1181,2020/07/29 00:00,0,1,1,Sat,Night,Crash,Driver of a non-motorized vehicle,No,Clear,None or none of listed,Bicycle,"Private, not used for business activity",No,5000,1844838.0115499722,6309894.64838802,49.20603993300005,16.57246182500006
1182,2020/07/29 00:00,0,0,0,Sat,Night,Other collisions,The driver of the motor vehicle,Not tested,Clear,None or none of listed,"Not identified, the driver has fled",Not identified,No,0,1844017.6294268728,6304812.52436838,49.17620364400004,16.565092207000077
1183,2020/07/28 00:00,0,0,1,Fri,Day,Collision with pedestrian,Pedestrian,No,Clear,Near the pedestrian crossing,Passenger car without a trailer,"Private, not used for business activity",No,15000,1848232.04786873,6310612.249873477,49.210251400000054,16.60295097200003
1184,2020/07/28 00:00,0,0,0,Fri,Day,Collision with a parked vehicle,The driver of the motor vehicle,No,Clear,Parking slot adjacent to the road,Truck,Private company,No,5000,1848014.4055738072,6310234.6440898115,49.20803534800006,16.600995858000033
1185,2020/07/28 00:00,0,0,1,Fri,Day,Collision with a non rail vehicle,The driver of the motor vehicle,Not tested,Clear,Near the pedestrian crossing,"Not identified, the driver has fled",Not identified,No,0,1846510.4803663865,6307076.243851739,49.189495780000065,16.587485868000044
1186,2020/07/28 00:00,0,0,0,Fri,Day,Collision with a non rail vehicle,The driver of the motor vehicle,No,Clear,Parking slot adjacent to the road,Passenger car without a trailer,"Private, not used for business activity",No,20000,1849871.593834428,6311670.486250332,49.21646133400003,16.61767926400006
1187,2020/07/27 00:00,0,0,0,Thu,Night,Collision with a parked vehicle,The driver of the motor vehicle,Not tested,Clear,Parking slot adjacent to the road,"Not identified, the driver has fled",Not identified,No,0,1840452.1435038066,6312855.047629516,49.223411642000016,16.53306290200004
1188,2020/07/27 00:00,0,0,0,Thu,Day,Collision with a parked vehicle,The driver of the motor vehicle,Not tested,Clear,Parking slot adjacent to the road,Passenger car without a trailer,Private company,No,30000,1848249.744996101,6307445.479709194,49.191663525000074,16.603109948000053
1189,2020/07/27 00:00,0,0,0,Thu,Day,Collision with a tram,The driver of the motor vehicle,No,Clear,Pedestrian crossing,Passenger car without a trailer,"Private, not used for business activity",No,0,1847280.348821514,6306654.644964795,49.18702050100007,16.59440171400007
1190,2020/07/27 00:00,0,0,2,Thu,Night,Collision with pedestrian,The driver of the motor vehicle,No,Rain,Pedestrian crossing,Passenger car without a trailer,"Private, not used for business activity",No,1000,1849579.6291927928,6306481.853832091,49.186005979000065,16.615056501000026
1191,2020/07/27 00:00,0,0,0,Thu,Night,Collision with a parked vehicle,The driver of the motor vehicle,Not tested,Clear,Parking slot adjacent to the road,"Not identified, the driver has fled",Not identified,No,0,1848709.8747604578,6311880.84047763,49.217695640000045,16.607243364000055
1192,2020/07/26 00:00,0,0,1,Wed,Day,Collision with pedestrian,The driver of the motor vehicle,No,Clear,None or none of listed,Truck,"Private, used for business activity",No,0,1848720.207101634,6308233.679239598,49.19629064400004,16.607336181000047
1193,2020/07/26 00:00,0,0,0,Wed,Day,Collision with a tram,The driver of the motor vehicle,No,Clear,Near the pedestrian crossing,Passenger car without a trailer,Private company,No,250000,1847696.1080839937,6309262.410074219,49.20232914900002,16.598136543000066
1194,2020/07/26 00:00,0,0,0,Wed,Day,Collision with a non rail vehicle,The driver of the motor vehicle,No,Clear,None or none of listed,Truck,Private company,No,30000,1848666.097146189,6311059.394739951,49.21287542700002,16.606850103000056
1195,2020/07/26 00:00,0,0,0,Wed,Day,Collision with a parked vehicle,The driver of the motor vehicle,Not tested,Clear,Parking slot adjacent to the road,Passenger car without a trailer,"Private, not used for business activity",No,0,1849134.495833638,6307078.534253267,49.18950922700002,16.611057800000026
1196,2020/07/26 00:00,0,0,0,Wed,Night,Collision with a parked vehicle,The driver of the motor vehicle,Not tested,Clear,None or none of listed,"Not identified, the driver has fled",Not identified,No,0,1845727.8110603772,6310594.788539274,49.210148927000034,16.58045503000005
1197,2020/07/25 00:00,0,1,0,Tue,Day,Crash,Driver of a non-motorized vehicle,Not tested,Clear,None or none of listed,Bicycle,Private company,No,2000,1848800.5959153129,6308202.45677402,49.196107361000024,16.608058326000048
1198,2020/07/25 00:00,0,0,0,Tue,Day,Collision with a non rail vehicle,The driver of the motor vehicle,No,Clear,None or none of listed,Passenger car without a trailer,"Private, not used for business activity",No,0,1844911.558556424,6310757.098568073,49.21110144600003,16.57312250900003
1199,2020/07/25 00:00,0,0,0,Tue,Night,Collision with a parked vehicle,The driver of the motor vehicle,Not tested,Clear,Parking slot adjacent to the road,"Not identified, the driver has fled",Not identified,No,0,1850297.9179845022,6307799.045728317,49.19373918500003,16.621508999000067
1200,2020/07/25 00:00,0,0,0,Tue,Day,Collision with a fixed obstacle,Other,Not tested,Clear,None or none of listed,Passenger car without a trailer,"Private, used for business activity",No,30000,1849143.4932314812,6308755.257327466,49.199352326000046,16.611138625000024
1201,2020/07/25 00:00,0,0,1,Tue,Day,Collision with a fixed obstacle,The driver of the motor vehicle,No,Clear,None or none of listed,Passenger car without a trailer,Private company,No,400000,1853857.4718032184,6298848.623933573,49.141167645000046,16.653485015000058
1202,2020/07/25 00:00,0,0,1,Tue,Day,Collision with a non rail vehicle,The driver of the motor vehicle,No,Clear,None or none of listed,Passenger car without a trailer,Private company,No,150000,1855206.0745949277,6307341.828464346,49.19105500900008,16.665599720000046
1203,2020/07/25 00:00,0,0,0,Tue,Day,Collision with a parked vehicle,The driver of the motor vehicle,Not tested,Clear,"Bus stop, trolleybus, tramway without boarding. islet","Not identified, the driver has fled",Not identified,No,0,1845600.4531026285,6307273.018474938,49.19065103500003,16.57931095400005
1204,2020/07/25 00:00,0,0,0,Tue,Night,Collision with a parked vehicle,The driver of the motor vehicle,Not tested,Clear,"Exit from the car park, forest roads, etc.","Not identified, the driver has fled",Not identified,No,0,1845144.1017444294,6311930.906098224,49.21798940800004,16.575211480000064
1205,2020/07/24 00:00,0,0,0,Mon,Day,Collision with a non rail vehicle,The driver of the motor vehicle,Not tested,Rain,None or none of listed,"Not identified, the driver has fled",Not identified,No,0,1851480.1615895813,6299447.054837041,49.14468435300005,16.632129274000018
1206,2020/07/24 00:00,0,0,0,Mon,Day,Collision with a fixed obstacle,The driver of the motor vehicle,No,Rain,Gas station,Passenger car without a trailer,"Private, not used for business activity",No,90000,1847761.0933970879,6302385.406492628,49.16194809700005,16.598720316000026
1207,2020/07/24 00:00,0,0,0,Mon,Night,Collision with a parked vehicle,The driver of the motor vehicle,Not tested,Clear,Gas station,"Not identified, the driver has fled",Not identified,No,0,1855209.1594806588,6309544.291916963,49.20398362700007,16.665627432000065
1208,2020/07/24 00:00,0,0,0,Mon,Day,Collision with a parked vehicle,The driver of the motor vehicle,No,Clear,Near the pedestrian crossing,Truck,Registered outside of the Czech Republic,No,5000,1847972.504694837,6308997.973843863,49.20077701600008,16.600619456000057
1209,2020/07/24 00:00,0,0,1,Mon,Day,Collision with a non rail vehicle,The driver of the motor vehicle,No,Rain,Near the pedestrian crossing,Passenger car without a trailer,"Private, not used for business activity",No,30000,1843997.3569230833,6304473.311652553,49.17421154300007,16.56491009600006
1210,2020/07/24 00:00,0,0,0,Mon,Night,Collision with a parked vehicle,The driver of the motor vehicle,Not tested,Rain,None or none of listed,"Not identified, the driver has fled",Not identified,No,0,1843636.6463733155,6303450.3196773995,49.168203313000056,16.561669778000063
1211,2020/07/23 00:00,0,0,1,Sun,Day,Crash,Driver of a non-motorized vehicle,No,Clear,None or none of listed,Bicycle,"Private, not used for business activity",Yes,1000,1842649.5132189775,6310913.056443926,49.21201667000002,16.55280221000004
1212,2020/07/23 00:00,0,0,0,Sun,Day,Collision with a parked vehicle,The driver of the motor vehicle,Under influence of alcohol,Clear,Parking slot adjacent to the road,Passenger car without a trailer,"Private, not used for business activity",No,60000,1847048.603015023,6307223.396474257,49.190359709000056,16.592319906000053
1213,2020/07/23 00:00,0,0,0,Sun,Day,Collision with a non rail vehicle,The driver of the motor vehicle,No,Clear,None or none of listed,Truck with semi-trailer,Private company,No,0,1851505.1013856656,6302664.302923992,49.16358638900004,16.632353312000074
1214,2020/07/23 00:00,0,0,1,Sun,Night,Collision with pedestrian,The driver of the motor vehicle,No,Clear,Pedestrian crossing,Passenger car without a trailer,Private company,No,10000,1840284.3024321184,6313616.499553271,49.22787887700008,16.53155516000004
1215,2020/07/22 00:00,0,0,0,Sat,Night,Collision with a parked vehicle,The driver of the motor vehicle,Not tested,Clear,Parking slot adjacent to the road,"Not identified, the driver has fled",Not identified,No,0,1848083.535088911,6310253.044220513,49.20814333500004,16.601616859000046
1216,2020/07/22 00:00,0,0,0,Sat,Night,Collision with a parked vehicle,The driver of the motor vehicle,Not tested,Clear,Parking slot adjacent to the road,"Not identified, the driver has fled",Not identified,No,0,1850424.309021154,6312109.331286414,49.219036332000016,16.62264438900007
1217,2020/07/22 00:00,0,0,0,Sat,Night,Collision with a parked vehicle,The driver of the motor vehicle,Not tested,Clear,Near the pedestrian crossing,"Not identified, the driver has fled",Not identified,No,0,1844859.0444771978,6303514.975371461,49.16858307000007,16.572650767000027
1218,2020/07/22 00:00,0,0,0,Sat,Night,Other collisions,The driver of the motor vehicle,Not tested,Clear,Parking slot adjacent to the road,"Not identified, the driver has fled",Not identified,No,0,1853606.6383776024,6307270.8552585365,49.19063833500006,16.651231740000068
1219,2020/07/21 00:00,0,0,0,Fri,Night,Collision with a parked vehicle,The driver of the motor vehicle,Not tested,Clear,Gas station,"Not identified, the driver has fled",Not identified,No,0,1851151.8231930174,6300955.367538199,49.153546918000075,16.629179760000056
1220,2020/07/21 00:00,0,0,0,Fri,Night,Collision with a parked vehicle,The driver of the motor vehicle,No,Rain,Pedestrian crossing,Passenger car without a trailer,"Private, not used for business activity",No,40000,1847391.332906676,6312787.297240125,49.22301414900004,16.59539870100002
1221,2020/07/21 00:00,0,0,0,Fri,Day,Crash,The driver of the motor vehicle,No,Clear,None or none of listed,Passenger car without a trailer,"Private, not used for business activity",No,10000,1848318.7136545393,6312264.337448828,49.21994582500008,16.603729504000057
1222,2020/07/21 00:00,0,0,0,Fri,Day,Crash,The driver of the motor vehicle,Under influence of alcohol,Clear,None or none of listed,Passenger car without a trailer,"Private, not used for business activity",No,20000,1858538.6845960312,6299414.123176335,49.14449083500005,16.695537065000053
1223,2020/07/21 00:00,0,0,0,Fri,Day,Other collisions,The driver of the motor vehicle,No,Clear,None or none of listed,Truck,Private company,No,20000,1848676.207627619,6307448.018730665,49.191678431000064,16.606940927000036
1224,2020/07/21 00:00,0,0,0,Fri,Day,Collision with a parked vehicle,The driver of the motor vehicle,Not tested,Clear,Parking slot adjacent to the road,Passenger car without a trailer,"Private, not used for business activity",No,0,1848495.0053227304,6305050.603161785,49.17760176600006,16.605313159000048
1225,2020/07/21 00:00,0,0,1,Fri,Day,Crash,Driver of a non-motorized vehicle,No,Clear,Near the pedestrian crossing,Bicycle,"Private, not used for business activity",No,5000,1852894.1127072528,6308058.74085636,49.19526370700003,16.644831013000044
1226,2020/07/21 00:00,0,0,0,Fri,Day,Collision with a parked vehicle,The driver of the motor vehicle,Not tested,Clear,None or none of listed,Passenger car without a trailer,"Private, not used for business activity",No,0,1853759.1024427493,6296773.295988373,49.12896994700003,16.652601348000072
1227,2020/07/21 00:00,0,0,0,Fri,Day,Collision with a non rail vehicle,The driver of the motor vehicle,No,Clear,None or none of listed,Passenger car without a trailer,"Private, not used for business activity",No,70000,1844947.4022079494,6311992.781268402,49.21835246800003,16.57344449800007
1228,2020/07/21 00:00,0,0,0,Fri,Night,Collision with a parked vehicle,The driver of the motor vehicle,Not tested,Clear,None or none of listed,"Not identified, the driver has fled",Not identified,No,0,1847391.9298017886,6307757.415619174,49.19349479400005,16.595404063000046
1229,2020/07/20 00:00,0,0,0,Thu,Night,Collision with a fixed obstacle,The driver of the motor vehicle,Not tested,Clear,None or none of listed,"Not identified, the driver has fled",Not identified,No,0,1856914.9200605848,6311069.509688532,49.21293478400002,16.680950540000026
1230,2020/07/20 00:00,0,0,1,Thu,Day,Collision with a non rail vehicle,The driver of the motor vehicle,No,Clear,None or none of listed,Motorbike,"Private, not used for business activity",No,30000,1851068.2358364074,6303212.240451702,49.16680492300003,16.628428882000037
1231,2020/07/20 00:00,0,0,0,Thu,Day,Collision with a non rail vehicle,The driver of the motor vehicle,Not tested,Clear,None or none of listed,"Not identified, the driver has fled",Not identified,No,0,1848383.6165912147,6312374.950362452,49.220594832000074,16.604312537000055
1232,2020/07/20 00:00,0,0,0,Thu,Night,Collision with a parked vehicle,The driver of the motor vehicle,Not tested,Clear,None or none of listed,"Not identified, the driver has fled",Not identified,No,0,1847573.530407817,6304916.566985479,49.17681464100007,16.597035409000057
1233,2020/07/20 00:00,0,0,0,Thu,Day,Collision with a fixed obstacle,The driver of the motor vehicle,No,Clear,None or none of listed,Passenger car without a trailer,"Private, not used for business activity",No,0,1848898.0039206634,6311884.923014423,49.21771959500006,16.60893335700007
1234,2020/07/20 00:00,0,0,0,Thu,Day,Collision with a fixed obstacle,The driver of the motor vehicle,No,Clear,None or none of listed,Truck,"Private, not used for business activity",Yes,30000,1849946.314148313,6312350.520556714,49.22045149400002,16.618350488000033
1235,2020/07/20 00:00,0,0,0,Thu,Day,Collision with a parked vehicle,The driver of the motor vehicle,No,Clear,"Exit from the car park, forest roads, etc.",Passenger car without a trailer,"Private, not used for business activity",No,0,1856986.2191925638,6305373.522582248,49.179498053000025,16.68159103100004
1236,2020/07/20 00:00,0,0,0,Thu,Night,Collision with a parked vehicle,The driver of the motor vehicle,Not tested,Clear,None or none of listed,"Not identified, the driver has fled",Not identified,No,0,1845039.6232816249,6319508.195368776,49.26243023100004,16.574272934000074
1237,2020/07/19 00:00,1,0,0,Wed,Day,Collision with a tram,The driver of the motor vehicle,No,Clear,"Bus, trolleybus, tram stop. islet",Tram,Public transport,No,50000,1850797.2241946133,6308888.832065731,49.20013638400006,16.625994343000055
1238,2020/07/19 00:00,0,0,0,Wed,Day,Collision with a non rail vehicle,The driver of the motor vehicle,No,Clear,None or none of listed,Passenger car without a trailer,Registered outside of the Czech Republic,No,60000,1849495.220075704,6308489.364791339,49.19779155100007,16.61429824100003
1239,2020/07/19 00:00,0,0,0,Wed,Night,Collision with a parked vehicle,The driver of the motor vehicle,Not tested,Clear,None or none of listed,"Not identified, the driver has fled",Not identified,No,0,1851574.7038972825,6312743.681531098,49.22275825300004,16.632978562000062
1240,2020/07/19 00:00,0,0,0,Wed,Night,Collision with a parked vehicle,The driver of the motor vehicle,Not tested,Clear,"Exit from the car park, forest roads, etc.","Not identified, the driver has fled",Not identified,No,0,1853717.094363104,6308046.104628542,49.19518952800008,16.652223983000052
1241,2020/07/19 00:00,0,0,1,Wed,Day,Crash,Driver of a non-motorized vehicle,No,Clear,None or none of listed,Bicycle,"Private, not used for business activity",No,0,1850772.3707824578,6301196.679650101,49.15496467600006,16.625771081000035
1242,2020/07/19 00:00,0,0,0,Wed,Day,Collision with a non rail vehicle,The driver of the motor vehicle,Not tested,Clear,None or none of listed,"Not identified, the driver has fled",Not identified,No,0,1843720.5116946907,6304637.818411485,49.17517765500003,16.562423153000054
1243,2020/07/19 00:00,0,0,0,Wed,Day,Collision with a parked vehicle,The driver of the motor vehicle,Not tested,Clear,None or none of listed,"Not identified, the driver has fled",Not identified,No,0,1846414.8746235976,6313744.639477668,49.22863060000003,16.586627027000077
1244,2020/07/18 00:00,0,0,1,Tue,Day,Collision with a non rail vehicle,The driver of the motor vehicle,No,Clear,Pedestrian crossing,Passenger car without a trailer,"Private, not used for business activity",No,30000,1852679.8393854033,6306875.093770653,49.18831480900007,16.642906163000077
1245,2020/07/18 00:00,0,0,1,Tue,Day,Collision with pedestrian,Pedestrian,No,Clear,"Bus, trolleybus, tram stop. islet",Truck,Private company,No,0,1849302.0404615244,6307356.862956487,49.19114327400006,16.612562879000052
1246,2020/07/18 00:00,0,0,0,Tue,Day,Collision with a non rail vehicle,The driver of the motor vehicle,No,Clear,None or none of listed,Passenger car without a trailer,"Private, not used for business activity",No,80000,1858871.29621389,6310846.045549686,49.21162342500002,16.698524966000036
1247,2020/07/18 00:00,0,0,1,Tue,Day,Crash,Driver of a non-motorized vehicle,No,Clear,None or none of listed,Bicycle,"Private, not used for business activity",No,2000,1838882.3861759198,6311998.694421992,49.21838716400002,16.51896153200005
1248,2020/07/18 00:00,0,0,0,Tue,Night,Collision with a fixed obstacle,The driver of the motor vehicle,Not tested,Clear,None or none of listed,"Not identified, the driver has fled",Not identified,No,0,1848480.0016817614,6308815.8266834365,49.19970785800006,16.60517837900005
1249,2020/07/18 00:00,0,0,0,Tue,Day,Collision with a non rail vehicle,The driver of the motor vehicle,No,Clear,"Bus stop, trolleybus, tramway without boarding. islet",Passenger car without a trailer,Private company,No,150000,1850507.9645052871,6304346.555645839,49.173467120000055,16.623395879000043
1250,2020/07/18 00:00,0,0,1,Tue,Day,Collision with a non rail vehicle,The driver of the motor vehicle,No,Clear,Near the pedestrian crossing,Passenger car without a trailer,"Private, not used for business activity",No,5000,1850833.233823491,6307299.572427431,49.190806930000065,16.62631782300002
1251,2020/07/18 00:00,0,0,0,Tue,Night,Collision with a parked vehicle,Technical defect of the vehicle,Not tested,Clear,None or none of listed,Tram,Public transport,No,500000,1848780.1233704004,6308966.596068195,49.200592838000034,16.60787441800005
1252,2020/07/17 00:00,0,0,0,Mon,Day,Collision with a non rail vehicle,The driver of the motor vehicle,No,Clear,None or none of listed,Truck with trailer,Private company,No,0,1854985.8765158185,6307119.544417971,49.18974999800008,16.66362164700007
1253,2020/07/17 00:00,0,0,1,Mon,Day,Collision with a non rail vehicle,The driver of the motor vehicle,No,Clear,None or none of listed,Passenger car without a trailer,"Private, not used for business activity",No,20000,1849252.7130140439,6306985.355934354,49.18896217200005,16.612119763000067
1254,2020/07/17 00:00,0,0,0,Mon,Day,Crash,The driver of the motor vehicle,No,Clear,Near the pedestrian crossing,Passenger car without a trailer,"Private, not used for business activity",No,0,1840244.3349500627,6313540.642832667,49.227433864000034,16.53119612600005
1255,2020/07/17 00:00,0,0,1,Mon,Day,Collision with a non rail vehicle,The driver of the motor vehicle,No,Clear,None or none of listed,Passenger car without a trailer,Private company,No,0,1844503.6453142958,6307810.4983838815,49.19380641800006,16.569458162000046
1256,2020/07/17 00:00,0,0,1,Mon,Day,Collision with a non rail vehicle,The driver of the motor vehicle,No,Clear,None or none of listed,Passenger car without a trailer,"Private, not used for business activity",No,50000,1855755.731946558,6306338.896195683,49.18516660500006,16.670537376000027
1257,2020/07/17 00:00,0,0,1,Mon,Day,Crash,The driver of the motor vehicle,No,Clear,None or none of listed,Motorbike,"Private, not used for business activity",No,20000,1847199.3409601443,6308595.302738502,49.198413407000025,16.593674008000047
1258,2020/07/17 00:00,0,0,0,Mon,Day,Collision with a non rail vehicle,The driver of the motor vehicle,Not tested,Clear,Parking slot adjacent to the road,"Not identified, the driver has fled",Not identified,No,0,1849252.4412831676,6308712.21445901,49.19909967000007,16.61211732200007
1259,2020/07/17 00:00,0,0,0,Mon,Night,Collision with a parked vehicle,The driver of the motor vehicle,Not tested,Clear,None or none of listed,"Not identified, the driver has fled",Not identified,No,0,1851150.7099981061,6307113.380897903,49.18971381200003,16.629169760000025
1260,2020/07/16 00:00,0,0,1,Sun,Day,Collision with a non rail vehicle,The driver of the motor vehicle,No,Clear,Pedestrian crossing,Passenger car without a trailer,"Private, not used for business activity",No,20000,1840824.401001715,6313025.659266415,49.22441261000006,16.536406948000035
1261,2020/07/15 00:00,0,0,1,Sat,Night,Collision with a non rail vehicle,The driver of the motor vehicle,No,Other dificult,None or none of listed,Passenger car without a trailer,Registered outside of the Czech Republic,No,30000,1850891.9270250124,6301905.734253436,49.15913028200003,16.626845073000027
1262,2020/07/15 00:00,0,0,0,Sat,Night,Collision with a parked vehicle,The driver of the motor vehicle,Not tested,Clear,None or none of listed,"Not identified, the driver has fled",Not identified,No,0,1853927.1366537488,6300601.537703011,49.151468022000074,16.654110825000032
1263,2020/07/15 00:00,0,0,0,Sat,Day,Collision with a fixed obstacle,The driver of the motor vehicle,No,Clear,Parking slot adjacent to the road,Passenger car without a trailer,"Private, not used for business activity",No,0,1844093.4401151687,6304883.192841167,49.176618650000066,16.565773226000033
1264,2020/07/15 00:00,0,0,0,Sat,Night,Collision with a parked vehicle,The driver of the motor vehicle,Not tested,Clear,Parking slot adjacent to the road,"Not identified, the driver has fled",Not identified,No,0,1837788.3432297816,6311611.785299576,49.216116886000066,16.509133577000057
1265,2020/07/15 00:00,0,0,0,Sat,Night,Collision with a fixed obstacle,The driver of the motor vehicle,No,Clear,Parking slot adjacent to the road,Passenger car without a trailer,"Private, not used for business activity",Yes,40000,1851136.3591346317,6301180.2238331875,49.154867996000064,16.62904084400003
1266,2020/07/14 00:00,0,0,0,Fri,Day,Collision with a non rail vehicle,The driver of the motor vehicle,No,Clear,"Bridge, overpass, underpass, tunnel",Passenger car without a trailer,"Private, not used for business activity",No,20000,1844981.5359920883,6310851.2832674105,49.21165416200006,16.573751127000037
1267,2020/07/14 00:00,0,0,0,Fri,Night,Collision with a parked vehicle,The driver of the motor vehicle,Not tested,Clear,Parking slot adjacent to the road,"Not identified, the driver has fled",Not identified,No,0,1847006.179713677,6309806.358566277,49.205521752000045,16.591938811000034
1268,2020/07/14 00:00,0,0,1,Fri,Day,Collision with a non rail vehicle,The driver of the motor vehicle,No,Clear,Pedestrian crossing,Passenger car without a trailer,"Private, not used for business activity",No,0,1849946.543911742,6306367.721233447,49.18533585200003,16.618352552000033
1269,2020/07/14 00:00,0,0,0,Fri,Night,Collision with a parked vehicle,The driver of the motor vehicle,Not tested,Clear,Parking slot adjacent to the road,"Not identified, the driver has fled",Not identified,No,0,1847243.5302338905,6310529.127342037,49.20976358800004,16.59407096700005
1270,2020/07/13 00:00,0,0,1,Thu,Day,Crash,The driver of the motor vehicle,No,Clear,Parking slot adjacent to the road,Motorbike,"Private, not used for business activity",No,1000,1857065.5262034307,6309765.900140129,49.205284296000045,16.682303458000032
1271,2020/07/13 00:00,0,0,0,Thu,Day,Collision with a non rail vehicle,The driver of the motor vehicle,No,Clear,Pedestrian crossing,Passenger car without a trailer,"Private, not used for business activity",No,50000,1847545.2189670012,6310924.637559106,49.21208463200003,16.59678108300005
1272,2020/07/13 00:00,0,0,0,Thu,Day,Collision with a non rail vehicle,The driver of the motor vehicle,Not tested,Clear,None or none of listed,Passenger car without a trailer,Registered outside of the Czech Republic,No,5000,1850087.6825545332,6305979.560667494,49.18305670800004,16.619620422000022
